iteration|level|ip_address|response_time|country|region|city|longitude|latitude|isp|org
9|15|216.239.56.166|21.791 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
9|16|216.239.56.164|34.834 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
9|17|74.125.21.139|26.829 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
10|1|192.168.0.1|1.916 ms|||||||
10|2|174.111.102.226|31.330 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
10|3|24.25.62.50|16.574 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
10|4|24.93.67.202|19.571 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
10|5|24.93.64.186|19.668 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
10|6|66.109.6.82|29.130 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
10|7|205.197.180.41|24.807 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
10|8|205.197.180.54|23.393 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
10|9|216.239.51.47|26.865 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
10|10|216.239.51.53|19.825 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
10|11|209.85.142.138|25.279 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
10|12|216.239.51.243|33.340 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
10|13|209.85.142.138|27.734 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
10|14|209.85.248.53|23.157 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
10|15|64.233.175.12|23.993 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
10|16|74.125.21.139|24.126 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
11|1|192.168.0.1|5.221 ms|||||||
11|2|174.111.102.226|144.870 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
11|3|24.25.62.50|19.765 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
11|4|24.93.67.202|22.851 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
11|5|24.93.64.186|21.972 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
11|6|66.109.6.82|24.322 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
11|7|205.197.180.41|40.331 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
11|8|205.197.180.54|77.063 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
11|9|216.239.51.47|114.385 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
11|10|216.239.51.243|133.687 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
11|11|66.249.94.20|130.748 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
11|12|64.233.175.12|125.435 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
11|13|209.85.253.3|108.179 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
